indice,estrelas,comentario
542,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Best Course I have ever completed. The lectures were very engaging and would give you through insight of the problems. Various ideas and their application was depicted in very beautiful ways.
543,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great course! As usual, very clear and detailed explanation, break down tough concepts into simpler terms. I've learnt a lot from the course. Thank you so much, Prof. Andrew Ng and your team!"
544,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Very thankful to Professor Andrew and course instructors and  mentors.
545,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Once again great quality material delivered by Mr. Ng. Dives quite deep with hands-on practice and provides additional pointers for people who want to go on to an even deeper understanding.
546,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Amazing course, just like the previous 4 of the specialization. Sir Andrew Ng has simplified and helped implement deep learning in a really helpful way. Grateful to have such a great teacher"
547,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This course was my favourite and definitely the most challenging.  Every course with Andrew Ng is amazing.  Thank you and I will continue to take more courses in this area of specialization.
548,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The sequence model course is good , but compared to the convolutional neural net course it somewhat lacking in the content. But overall the concepts and assignments are good and challenging."
549,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"All the contents are very nice and understandable. Quiz ,Lab and Assignments are useful for understand the implementations and development. Thank you Andrew sir for this wonderful contents.  "
550,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great course. Very challengint for me, but thanks to the clear explanations provided i could finish it and have surprises when I found that many of my thinking on the matter was right!"
551,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,In my opinion this 5th course on sequence model is the most interesting (and the hardest) course in this specialization; not only the content but the programming practices are well built.
552,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Thanks for taking the time to put this together!  It was very helpful, and I've gone from total ML newbie to confidently creating my own useful models and applications.  I recommend this course on a regular basis."
553,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,A Brilliant Course!!! I got to learn a lot very efficiently about Recurrent Neural Networks!!! Thank you so much deeplearning.ai!!!
554,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great Course, just like the rest in the specialisation! Really like the method of teaching!! Some sections of the assignment were coded before hand but would have been nice to be able to code them as well. Thanks"
555,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This is how a course needs to design, hats off guys a proper mathematical explanation for intuition. Andrew ng he has special quality how to draw students if topics are too hard that's what a good teacher needs.  "
556,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Dr. Andrew is the best instructor! The course not just covers the conceptual understanding but also connects you to everything that has happened/ is happening in the particular field, and the ""Heroes"" of course! "
557,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Overall the course was quite satisfactory and exhaustive learning. The explanation of professor Andrew Ng was very simple and understandable. I loved learning the course and completed it way before the due date.  
558,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Excellent course both in terms of content and the tools provided! Of course, you've got to put the effort to understand what's going on and pull together the bigger picture, especially in the weekly assignments. "
559,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This is an excellent course. The lecturers are clear and informative. The programming projects are well designed to teach learners basic concepts without drowning in too much details. Thanks for the great work. 
560,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This is just the beginning. you will have a flashlight, a rope, and some other necessary stuff. you might need to build necessary stuff and keep hiking. Enjoy learning basics of hiking from best hiker (prof NG)"
561,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Everything from the basic concepts such as GRUs and LSTMs to audio and language applications explained perfectly and simply in such a way that even a high school student like me could understand it. Thank you!
562,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This is is a very good cutting edge course. I would like to have less ' help' in the programming assignments or replicate the CNN course by implementing research paper algorithms. ALL in ALL great great course
563,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This series is a gem. Although, I have build some Deep Learning Models, this course provided me an in-depth knowledge of 'What, How and Why'. It enhanced my theoretical underpinnings of learning astoundingly. "
564,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"this course is an excellent introduction in Sequence models and RNN, it helped me a lot as all the course in the specialisation."
565,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I loved the graded coding exercises. Took forever for a noob like me to understand few points, but I eventually did. And it made all the difference. Thank you for creating such a well drafted course ! Cheers"
566,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"After several months of completing this specialization, I will still come back to refresh and further strengthen my understanding via Andrew's excellent explanation on the topics. Thanks Andrew and his team!"
567,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,The programming assignments are well designed and very practical. Finishing them is the best way to learn the techniques. This is the best class and recommend it to anyone who wants to learn sequence models. 
568,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Hard sometimes for someone how is not familiar with Python to understand how an object is the class is called. I would be nice if there were some examples, what it means and how it works to call an object. "
569,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Great course. Although it is a little hard to grasp what RNN is doing from the beginning. It would be helpful if there's a simple demonstration what each step of RNN is doing at the beginning of the course.
570,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Amazing course. Amazing explanation of how Sequence Models work in a very intuitive and practical way. Amazing code examples - learnt a lot. Oh just one note though -- Durian is from Malaysia not Singapore!
571,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I have to admit that this, together with the 4th course, was the most difficult one. However, I definitely learnt a lot from this course. Thank you very much to Prof. Andrew Ng and his assistant professors."
572,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Excellent course, just like all other courses of this specialisation. I highly recommend the whole specialisation for any one serious about DL. Thanks Prof Ng and thanks for his team for such great efforts. "
573,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I certainly feel I learned a lot from these courses, and have already applied quite a bit of what I have learned in my job. Thank you for offering this specialization, and thank you to all the instructors!"
574,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I have just finished the whole Deep Learning Specialization. Andrew Ng is an awesome teacher. He is one of my heros, too. For AI enthusiasts like me, this specialization is one of the best choice to learn."
575,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great course. Very challengint for me, but thanks to the clear explanations provided i could finish it and have surprises when I found that many of my thinking on the matter was right!"
576,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,In my opinion this 5th course on sequence model is the most interesting (and the hardest) course in this specialization; not only the content but the programming practices are well built.
577,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Thanks for taking the time to put this together!  It was very helpful, and I've gone from total ML newbie to confidently creating my own useful models and applications.  I recommend this course on a regular basis."
578,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,A Brilliant Course!!! I got to learn a lot very efficiently about Recurrent Neural Networks!!! Thank you so much deeplearning.ai!!!
579,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great Course, just like the rest in the specialisation! Really like the method of teaching!! Some sections of the assignment were coded before hand but would have been nice to be able to code them as well. Thanks"
580,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This is how a course needs to design, hats off guys a proper mathematical explanation for intuition. Andrew ng he has special quality how to draw students if topics are too hard that's what a good teacher needs.  "
581,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Dr. Andrew is the best instructor! The course not just covers the conceptual understanding but also connects you to everything that has happened/ is happening in the particular field, and the ""Heroes"" of course! "
582,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Overall the course was quite satisfactory and exhaustive learning. The explanation of professor Andrew Ng was very simple and understandable. I loved learning the course and completed it way before the due date.  
583,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Excellent course both in terms of content and the tools provided! Of course, you've got to put the effort to understand what's going on and pull together the bigger picture, especially in the weekly assignments. "
584,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This is an excellent course. The lecturers are clear and informative. The programming projects are well designed to teach learners basic concepts without drowning in too much details. Thanks for the great work. 
585,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This is just the beginning. you will have a flashlight, a rope, and some other necessary stuff. you might need to build necessary stuff and keep hiking. Enjoy learning basics of hiking from best hiker (prof NG)"
586,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Everything from the basic concepts such as GRUs and LSTMs to audio and language applications explained perfectly and simply in such a way that even a high school student like me could understand it. Thank you!
587,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This is is a very good cutting edge course. I would like to have less ' help' in the programming assignments or replicate the CNN course by implementing research paper algorithms. ALL in ALL great great course
588,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This series is a gem. Although, I have build some Deep Learning Models, this course provided me an in-depth knowledge of 'What, How and Why'. It enhanced my theoretical underpinnings of learning astoundingly. "
589,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"this course is an excellent introduction in Sequence models and RNN, it helped me a lot as all the course in the specialisation."
590,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I loved the graded coding exercises. Took forever for a noob like me to understand few points, but I eventually did. And it made all the difference. Thank you for creating such a well drafted course ! Cheers"
591,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"After several months of completing this specialization, I will still come back to refresh and further strengthen my understanding via Andrew's excellent explanation on the topics. Thanks Andrew and his team!"
592,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,The programming assignments are well designed and very practical. Finishing them is the best way to learn the techniques. This is the best class and recommend it to anyone who wants to learn sequence models. 
593,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Hard sometimes for someone how is not familiar with Python to understand how an object is the class is called. I would be nice if there were some examples, what it means and how it works to call an object. "
594,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Great course. Although it is a little hard to grasp what RNN is doing from the beginning. It would be helpful if there's a simple demonstration what each step of RNN is doing at the beginning of the course.
595,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Amazing course. Amazing explanation of how Sequence Models work in a very intuitive and practical way. Amazing code examples - learnt a lot. Oh just one note though -- Durian is from Malaysia not Singapore!
596,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I have to admit that this, together with the 4th course, was the most difficult one. However, I definitely learnt a lot from this course. Thank you very much to Prof. Andrew Ng and his assistant professors."
597,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Excellent course, just like all other courses of this specialisation. I highly recommend the whole specialisation for any one serious about DL. Thanks Prof Ng and thanks for his team for such great efforts. "
598,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I certainly feel I learned a lot from these courses, and have already applied quite a bit of what I have learned in my job. Thank you for offering this specialization, and thank you to all the instructors!"
599,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I have just finished the whole Deep Learning Specialization. Andrew Ng is an awesome teacher. He is one of my heros, too. For AI enthusiasts like me, this specialization is one of the best choice to learn."
600,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This specialization really helped me understand DL thoroughly. I really thank Coursera and Andrew's team at Deeplearning.ai for this wonderful content! 
601,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Awesome assignments. This course was a little difficult to understand but the assignments helped in understanding some of the complex topics discussed.
602,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great course, but needs more checks for understanding during the lecture. Course would also benefit with a dedicated module on TensorFlow and/or Keras."
603,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The course is well-structured, and a nice introduction to sequence-related neural networks. The programming assignments cover interesting applications. "
604,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Fantastic! After this course, i can clearly understand how the basic RNN works. All the programming exercises are very very useful! Thank you so much!  "
605,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Probably the hardest course of the deeplearning.ai specialization, but made easier with thorough explanations of basic sequence models' architectures."
606,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This is an awesome course like other courses in this specialization. You can easily understand concepts and apply them thanks to Andrew and his team.
607,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Great course. The way Andrew explains the material makes it very understandable. Labs are very neat - especially the comments and markdwon portions. 
608,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Always a pleasure to learn from sir Andrew, and this is one of the best courses that teach Natural Language Processing and Sequence Models in depth!"
609,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Sir Andrew teaches in a very friendly way, also the programming assignment is great to check your understanding of the concepts. Highly recommended. "
610,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Thank you Andrew for being such a good and kind person. You've been a shelter and a kind teacher for all of us. Thank you, Thank you and, Thank you."
611,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"  Great course on how RNNs work and how they are used to solve real problems (speech recognition, translation, names generation, music generation...). "
612,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Systematic, step by step approach to understanding sequence models and practical exercises to see them implemented with lots of guidance."
613,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,The toughest course in the deep learning specialization for me. Learnt a lot. Made me ready for further readings and consolidation of the materials.
614,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Concepts are covered very well.  They are not very easy to grasp. But Professor Ng makes it easy.  Hopefully, I will practice some of the knowledge.  "
615,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Thank you Andrew for sharing all these great and latest staff in the AI Deep Learning field. Fantastic course. Will recommend it to all my IT staff. 
616,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Quizzes contain imprecise language, making it difficult to interpret what many of the questions are asking and what the answer choices are saying. "
617,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,the hole module properly designed and the lecture was very interesting and helpful also 
618,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This course have been very useful to learn fundamentals of sequence models. I'm really very happy to apply this course and being able to finish it.
619,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Excellent course. RNN is a complicated topic which has been taught so easily. Thank you Professor Andrew Ng. Loved every programming exercises too. 
620,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Very good quality course taught by Professor Andrew Ng. You will learn the basics to master Deep Learning Sequence Models using Keras / TensorFlow.
621,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Excellent course! I learned a lot. The assignment are not as well prepared as previous courses. Probably they'll be better as students raise errors
622,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"As a novice in seq-2-seq models, I learned so much! This is a great source of state-of-the art knowledge. I only wish it was at least 4 weeks long."
623,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Professor Ng's lectures provided intuitive ways to understand the complex recurrent neural networks and how to apply it in real world applications.
624,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I learned various applications of the sequence models. I hope, I will be able to solve various problems by applying the techniques I have learned."
625,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great course! Especially like how well thought out it is, especially the assignments. They are something you can save and refer back to as long as you're working in the field."
626,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"It was fun and a wonderful experience to learn deep learning. Course content is well structured, and the way things are taught , kept me engaged all the time."
627,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Andrew Ng is a great teacher, explaining everything in detail and trying to help you develop intuition about the very difficult processes that happen in deep neural networks."
628,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This course helped me gain a solid knowledge in the field of RNNs, Language Model etc. It also helped me to interpret the industrial level projects  in a more systematic way. "
629,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The course explanation is really nice. The topics are a bit advanced and hence need to be gone through multiple times. As always, Andrew and the team nail it with their work."
630,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I have completed the full specialization. For sure this the best specialization if anyone wants to build his/her career on AI. Thanks to Coursera to be a part of our journey. 
631,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I have not seen a better video tutorial for sequence models. I definitely recommend this course and specialization for those who would like to work with deep learning models.
632,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great Course as Always. Talks about Few Major Sequence Modeling Algorithms to some deep extent. And the Practical assignments are Fun to do as well. Thank you, Dr Andrew NG."
633,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I loved the course and the whole specialisation. I learnt a lot and I am going to apply all this knowledge to do some projects on my own. Thank you for designing the course.
634,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Excellent instruction, yet again! Thank you for such a valuable course that is available to people who can't afford expensive instruction at a university. I am so grateful!!"
635,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Great course! I was introduced to many interesting and difficult concepts about machine learning. The lectures were very good and the assignments were somewhat challenging.
636,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Really useful knowledge ready to be applied to real world problems. Easy to learn without any backgrounds in AI. The practice part is very clear and helpful. Thanks Andrew!
637,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,That's the most complicated course in the Specialization. But the more complicated algorithms the more interesting tasks. Thanks for fascinating trip through Deep Learning!
638,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"It is a very complete course I learned a lot about various network architectures to use in language model, speech recognition, music generation, etc. I highly recommend it."
639,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This one was bit tougher then earlier 4 courses but a very good course. Course content is great for implementing NLP. Course step ups my existing level in Machine Learning.  
640,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"You can spend as little time as you want, or you can go as deep as you want. It's incredible how flexible and well-designed is this course, and the entire specialization."
641,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This was the most fun course of the series. I particularly liked how you can use RNN for NLP. Great series of courses @ deeplearning.ai. Thank you Dr. Andrew Ng and team. 
642,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Very nice course! Everything explained clearly. Have been taking the specialization and it much worth to take. Every given material was useful. Thank you for everything.
643,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"the first week is relevant to my work, but it was great learning a bit about other topics in week2 and week 3. Thank you so much for making these videos and assignments! "
644,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Excellent course in order to learn an introduction about Natural Language Processing and Speech Recognition. The programming assignments are fun and challenging. Thanks!
645,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"One of the harder to understand concepts that exist in deep learning. However, the intuition that Andrew gives you makes it so much easier to comprehend. Worthy course!"
646,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Most of the concepts were new to me. Loved the way the simplicity with which Andrew Ng and his team delivered these concepts even though theoretically they looks tough.
647,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Thank you, teachers! I learned a lot from this Course as well as this Specialization."
648,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This is a very interesting piece of science. Andrew is a great teacher. He always explains all the complex phenomena in a very simple and coceivable way. Thanks a lot!
649,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"As we proceeded with the lecture, we were able to gain a better understanding of the sequence model and further assist in envisioning entrepreneurial items. Thank you."
650,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Honestly, the best course in Deep Learning I have ever taken. Thank the course staffs and Prof. Ng for sharing their valuable knowledge and helping ease the education through Moocs. "
651,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This course taught me so many important concepts in such an engaging way.
652,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This course is hard to learn. It requires a lot of basic concepts about NLP and RNN. Fortunately, programming exercises have effectively deepened my understanding of these concepts."
653,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Excellent overview of recurrent neural networks and applications like NLP, speech recognition, and sentiment analysis! The assignments especially were comprehensive and fascinating! "
654,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This course is AWESOME!!! I learned so much and it was put together so well. This course allowed me to write an article on attention and better understand stacked LSTM RNN networks.
655,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I have the best time with you who designed the course and learnt together. When the professor said thank you, I was really moved and, not a words can express my appreciation to you!"
656,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I got very valuable insights from this course. I have a raspberry Pi in home using which I control a lamp. I am going to activate it with speech based on learning from this course.
657,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Thank you so much for the entire deep learning specialization. Thanks for generously sharing so many aspects about various topics, which will be otherwise difficult to come across."
658,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The most challenging one among all 5 courses of this specialization, but I also got the most fun from the videos and programming exercises. The discussion forums are quite helpful."
659,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"A very well organized course. Assignments, lectures, almost everything is extremely organized and rich in content. This gave me a concrete theoretical knowledge on sequence models."
660,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great overview of sequence models. This was the course in the series that was most relevant to my topic of interest, so I was looking forward to it and enjoyed every moment of it."
661,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Very interesting course for those who do not know sequential models. As for the programming exercises, they are very easy to complete but help understanding how everything works."
662,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"All the courses are great, but this is the one I was interested in most. It didn't disappoint. The exercises were a bit challenging, but a lot of fun and relevant to the subject."
663,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"After taking the Deep Learning Specialization, I feel like I am a step higher than myself compared to last 4 months. Thanks to my instructor, curriculum developers and Coursera."
664,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Apart from a few frustrations in earlier assignments because of some errors in the Jupyter notebook, which have rectified, the course was a challenging and rewarding experience."
665,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great introduction to sequence models. While the actual concepts are hard to grasp, programming exercises has given a very good understanding of the application of these models."
666,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I am pleased about the in-depth explanation about RNNs, LSTMs, and GRUs, as well as the Attention mechanism. Those were the topics that I was looking for when taking this class."
667,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Awesome course. Andrew Ng is a very good teacher. I've also done the DL course on Udacity which was very unstructured and hard to follow. 
668,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Was fun with lessons, some assignments gave issues with necessity of additional care on being aware of the ""grader"", as some simple mistakes led to no grading, otherwise great!"
669,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Incredible! Just Loved it. Loved the entire deep learning specialization by coursera. Programming Assignments in this course were challenging but rewarding. Thank You Coursera. 
670,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great course with a lot of content about sequence models based on Recurrent Neural Networks. Although sometimes the topics are very complex, everything is explained very clear. "
671,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Andrew is excellent teacher! During last three months, his not only taught me deep learning but brought me peace helping me go through a hard time. I am so appreciate for that. "
672,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Simply excellent ending for the deep learning specialisation. This course 5 together with course 4 (CNNs) is really the core and the most important part of the 5-course series. 
673,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I learned how to use LSTM or GRU in NLP task. And I have learned many intuitions and skills of Sequence Models  and its application in various NLP tasks and speech recognition.
674,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,one of the best specialization ever!
675,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Andrew Ng does not hold anything back while discussing sequence models, including attention mechanisms and how to process and generate audio data."
676,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"excellent, I did some speech recognition & neural nets in the past, I am surprised at how much the field has evolved, this was a great refreshener"
677,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,The specialisation and this course have truly helped me gain a profound knowledge in theory as well as in programming of the Deep Learning models.  
678,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,It would great if you could explain more about the application of sequence models in finance and provide some example in that area.
679,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Course with great content, great examples that give you great intuition and capabilities to enter how the RNN and its different applications work"
680,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"It has been a long way, but in my opinion this is one of the best set of courses related to Deep Learning someone can find on the internet today."
681,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The course really well introduces to the key concepts of machine learning sequence modelling and NLP tasks. Furthermore, it is really up-to-date. "
682,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,it was an excellent course i learned a lot from it also you cant just be dependent on the course itself you have to look for other resources too 
683,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Very nice course on recurrent neural network and natural language processing using deep learning. Andrew's lectures are both clear and engaging.
684,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The course is very good for understanding RNN, GRU, LSTM from basics along with word embedding. Thank you Andrew Ng Sir for such a great course."
685,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This module didn't look as prepared than the others. The assignments had far more errors than the others and also the video were less compelling
686,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"  Awesome course, taking the student from basics to the advanced level seamlessly.  I Really learnt a lot from this. Thanks Andrew Ng and team. :)"
687,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I find this course much better done and prepared than the course on ConvNets. I also learned much here and found it interesting and educational.
688,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Very in depth. Couldnt really ask for better intuitions. Wish that they explained some Tensorflow within the lectures instead of just the labs. 
689,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This specialisation was very informative, and I learned a lot of things from these courses. Thanks to Coursera and Deeplearning.ai to teach me. "
690,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This course teaches relatively advanced courses in a very intuitive manner. The assignments were challenging yet fun. Highly recommended course
691,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,simplesmente espetacular. São as palavras que eu encontro para descrever toda a sequência de cursos do Andrew Ng. Mas tem que AMAR matemática !
692,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Pretty good, for learning recurrent neural network and neural machine translation,  and I learned a lot about Keras in the program assignments."
693,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"O curso tem o balanço perfeito entre teoria e prática. Tudo muito completo, mostrando os detalhes para se entender Deep Learning. Muito Bom!!!"
694,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Excellent exercises and assignments! And most importantly, Prof. Andrew Ng's teaching style is superb and has made me quite an admirer of him."
695,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Clear but concise , Which is really helpful for busy professionals. the course tests are really useful in conveying the message of the course."
696,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I was really hoping this course would focus more on time series data. Still a great course if you are interested in speech recognition and NLP
697,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Really well taught course. I felt like the programming assignments were too easy. I think its one of the best deep learning courses out there.
698,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Impressive amount of work to prepare the course material. I enjoy the learning immensely. It saves me a lot of time from reading white papers. 
699,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,The course is really helpful. The whole series helped me get a sense of what is deep leawrning and how CNN and RNN work in different contexts.
700,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I really enjoy and am expressed by how sequence models contribute to NLP, speech recognition, etc. I do think this inspires me to explore more in the field"
701,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Fantastic specialization! Thank you Andrew and the other course contributors. I am inspired to go out and use my new Deep Learning super power for good :-)
